u,v,key,osmid,highway,name,oneway,reversed,length,lanes,bridge,maxspeed,tunnel,service,access,width,geometry
5683792671,1904391877,0,675260212,service,Ngõ 95 Phố Chùa Bộc,False,False,54.62865545798885,,,,,,,,"LINESTRING (105.8280056 21.0059851, 105.8277666 21.0055474)"
5683792671,5485778378,0,675260212,service,Ngõ 95 Phố Chùa Bộc,False,True,26.37307637539823,,,,,,,,"LINESTRING (105.8280056 21.0059851, 105.828121 21.0061964)"
5683792672,5683792671,0,596721702,service,,False,False,63.12129720775253,,,,,,,,"LINESTRING (105.828552 21.005736, 105.8280056 21.0059851)"
5683792674,5683792676,0,596721705,tertiary,Phố Đông Tác,True,False,14.214217699643712,2,,,,,,,"LINESTRING (105.8313438 21.0061057, 105.8312827 21.0062201)"
5683792674,98027291,0,710365053,tertiary,Phố Đông Tác,False,True,6.27962040519753,3,,,,,,,"LINESTRING (105.8313438 21.0061057, 105.8313959 21.006077)"
5683792676,6677338239,0,164211021,secondary,Phố Phạm Ngọc Thạch,True,False,17.484800950780457,2,,,,,,,"LINESTRING (105.8312827 21.0062201, 105.8314193 21.0063121)"
5683792676,1314209698,0,708584847,secondary,Phố Chùa Bộc,True,False,17.908641635623148,2,,,,,,,"LINESTRING (105.8312827 21.0062201, 105.8311553 21.0063287)"
5683792677,7887624771,0,893874550,service,,False,True,9.939707368046324,,,,,alley,,,"LINESTRING (105.8307904 21.0053625, 105.8307012 21.005395)"
5683792677,1904395866,0,1395144950,secondary,Phố Tôn Thất Tùng,False,False,7.149792679354388,2,,,,,,,"LINESTRING (105.8307904 21.0053625, 105.8308146 21.0054227)"
5683792677,6677555785,0,1395144950,secondary,Phố Tôn Thất Tùng,False,True,49.83278937161035,2,,,,,,,"LINESTRING (105.8307904 21.0053625, 105.83063 21.0049401)"
5683792678,8307949970,0,596721707,service,,False,False,61.69607992667388,,,,,alley,,,"LINESTRING (105.8294682 21.0057513, 105.8300072 21.0055175)"
5683792678,11726587204,0,596721707,service,,False,True,26.200501041784168,,,,,alley,,,"LINESTRING (105.8294682 21.0057513, 105.8293531 21.0055416)"
5683792678,11726587205,0,1262082049,service,,False,False,26.342788393632613,,,,,alley,,,"LINESTRING (105.8294682 21.0057513, 105.8295757 21.0059659)"
5683792679,6677531881,0,857047108,secondary,Phố Tôn Thất Tùng,False,True,7.023996823983568,2,,,,,,,"LINESTRING (105.8302083 21.0037348, 105.8301865 21.003675)"
5683792679,11149802385,0,1395144950,secondary,Phố Tôn Thất Tùng,False,False,4.946571301611802,2,,,,,,,"LINESTRING (105.8302083 21.0037348, 105.8302201 21.0037779)"
5683792681,12945730586,0,597116997,service,,True,False,27.490508424575385,,,,,,,,"LINESTRING (105.8301832 21.0028685, 105.830138 21.0026249)"
5683792681,12914003261,0,1229858793,service,,True,False,10.361613357021835,,,,,,destination,,"LINESTRING (105.8301832 21.0028685, 105.8302799 21.0028454)"
5683792682,10130534016,0,596721708,service,,True,False,25.557391033112847,,,,,,,,"LINESTRING (105.830517 21.0036684, 105.8302766 21.003718)"
5683792682,12914003261,0,596721709,service,,False,False,94.76558419053991,,,,,,private,,"LINESTRING (105.830517 21.0036684, 105.8302799 21.0028454)"
5683792683,8324371571,0,596721710,service,,False,False,20.875724462673748,,,,,,,,"LINESTRING (105.8315988 21.0034388, 105.8314033 21.0034828)"
5683792683,5835646745,0,596721710,service,,False,True,36.597992364568455,,,,,,,,"LINESTRING (105.8315988 21.0034388, 105.8319435 21.0033697)"
5683792684,12914003266,0,596721711,service,,False,False,9.121990619910598,,,,,,,,"LINESTRING (105.8309831 21.0026941, 105.8309805 21.0026121)"
5683792684,5683792685,0,596721711,service,,False,True,95.61823316793182,,,,,,,,"LINESTRING (105.8309831 21.0026941, 105.8310651 21.0035506)"
5683792684,11405072488,0,1229858804,service,,False,False,12.075654359138444,,,,,parking_aisle,,,"LINESTRING (105.8309831 21.0026941, 105.8310984 21.0027085)"
5683792685,5683792682,0,596721708,service,,True,False,58.384978721983586,,,,,,,,"LINESTRING (105.8310651 21.0035506, 105.830517 21.0036684)"
5683792685,8324371571,0,596721710,service,,False,True,35.90790943246681,,,,,,,,"LINESTRING (105.8310651 21.0035506, 105.8314033 21.0034828)"
5683792685,5683792684,0,596721711,service,,False,False,95.61823316793182,,,,,,,,"LINESTRING (105.8310651 21.0035506, 105.8309831 21.0026941)"
5683792685,12310608197,0,1040435520,service,,False,True,36.35461595986756,,,,,,,,"LINESTRING (105.8310651 21.0035506, 105.8311451 21.0038689)"
5683792688,6677531882,0,596721713,residential,Phố Tam Khương,False,False,69.37544071207618,2,,,,,,,"LINESTRING (105.829609 21.0042689, 105.8302616 21.0041344)"
5683792688,8259963792,0,596721713,residential,Phố Tam Khương,False,True,6.344174669026747,2,,,,,,,"LINESTRING (105.829609 21.0042689, 105.8295509 21.0042512)"
5683792689,8277275774,0,596721713,residential,Phố Tam Khương,False,False,11.223280269393005,2,,,,,,,"LINESTRING (105.8293784 21.0042213, 105.8294865 21.0042195)"
5683792689,5683792690,0,596721713,residential,Phố Tam Khương,False,True,22.241554237992332,2,,,,,,,"LINESTRING (105.8293784 21.0042213, 105.8291839 21.0043052)"
5683792690,5683792689,0,596721713,residential,Phố Tam Khương,False,False,22.241554237992332,2,,,,,,,"LINESTRING (105.8291839 21.0043052, 105.8293784 21.0042213)"
5683792690,8277275819,0,596721713,residential,Phố Tam Khương,False,True,23.84722271371034,2,,,,,,,"LINESTRING (105.8291839 21.0043052, 105.8289813 21.0044063)"
5683792691,8277275819,0,596721713,residential,Phố Tam Khương,False,False,9.84392766227953,2,,,,,,,"LINESTRING (105.8288956 21.0044442, 105.8289813 21.0044063)"
5683792691,5683792692,0,596721713,residential,Phố Tam Khương,False,True,22.030623371216006,2,,,,,,,"LINESTRING (105.8288956 21.0044442, 105.8286971 21.0045143)"
5683792692,5683792691,0,596721713,residential,Phố Tam Khương,False,False,22.030623371216006,2,,,,,,,"LINESTRING (105.8286971 21.0045143, 105.8288956 21.0044442)"
5683792692,10997015889,0,596721713,residential,Phố Tam Khương,False,True,6.092195685554937,2,,,,,,,"LINESTRING (105.8286971 21.0045143, 105.8286385 21.0045113)"
5683792693,8277275817,0,596721713,residential,Phố Tam Khương,False,False,9.096834526420944,2,,,,,,,"LINESTRING (105.8283055 21.0044943, 105.828393 21.0044988)"
5683792693,5683792694,0,596721713,residential,Phố Tam Khương,False,True,44.12653352800306,2,,,,,,,"LINESTRING (105.8283055 21.0044943, 105.8278871 21.0044242)"
5683792694,5683792693,0,596721713,residential,Phố Tam Khương,False,False,44.12653352800306,2,,,,,,,"LINESTRING (105.8278871 21.0044242, 105.8283055 21.0044943)"
5683792694,5683792670,0,596721713,residential,Phố Tam Khương,False,True,18.112384263018562,2,,,,,,,"LINESTRING (105.8278871 21.0044242, 105.8277127 21.0044292)"
5683792695,5683792670,0,596721713,residential,Phố Tam Khương,False,False,5.844304425705851,2,,,,,,,"LINESTRING (105.8276564 21.0044292, 105.8277127 21.0044292)"
5683792695,5683792696,0,596721713,residential,Phố Tam Khương,False,True,13.78758636967429,2,,,,,,,"LINESTRING (105.8276564 21.0044292, 105.8275598 21.0045143)"
5683792696,5683792695,0,596721713,residential,Phố Tam Khương,False,False,13.78758636967429,2,,,,,,,"LINESTRING (105.8275598 21.0045143, 105.8276564 21.0044292)"
5683792696,12184246222,0,596721713,residential,Phố Tam Khương,False,True,12.261768080112962,2,,,,,,,"LINESTRING (105.8275598 21.0045143, 105.8274418 21.0045093)"
5683792696,8277275883,0,890573981,service,,False,False,44.91364682619133,,,,,,,,"LINESTRING (105.8275598 21.0045143, 105.8277654 21.0048697)"
5683792696,11025311224,0,1187258128,service,,False,True,40.42958004378647,,,,,,,,"LINESTRING (105.8275598 21.0045143, 105.8275962 21.0041523)"
5683792697,12184246222,0,596721713,residential,Phố Tam Khương,False,False,1.0867174417674499,2,,,,,,,"LINESTRING (105.8274316 21.0045071, 105.8274418 21.0045093)"
5683792697,5683792698,0,596721713,residential,Phố Tam Khương,False,True,26.33662455112629,2,,,,,,,"LINESTRING (105.8274316 21.0045071, 105.8271843 21.0044542)"
5683792697,7401299935,0,675260212,service,Ngõ 95 Phố Chùa Bộc,False,True,22.6820302068445,,,,,,,,"LINESTRING (105.8274316 21.0045071, 105.8273245 21.0046849)"
5683792698,5683792697,0,596721713,residential,Phố Tam Khương,False,False,26.33662455112629,2,,,,,,,"LINESTRING (105.8271843 21.0044542, 105.8274316 21.0045071)"
5683792698,8277275843,0,596721713,residential,Phố Tam Khương,False,True,16.348420894581412,2,,,,,,,"LINESTRING (105.8271843 21.0044542, 105.8270343 21.0044094)"
5683792699,9567295536,0,596721713,residential,Phố Tam Khương,False,False,21.271416235298727,2,,,,,,,"LINESTRING (105.8257762 21.0040335, 105.8259714 21.0040917)"
5683792699,1758644520,0,596721713,residential,Phố Tam Khương,False,True,29.39309938756171,2,,,,,,,"LINESTRING (105.8257762 21.0040335, 105.8255086 21.0041199)"
5683835442,10130399532,0,596730427,service,,False,True,5.525250616728106,,,,,,,,"LINESTRING (105.8368689 21.0036289, 105.8368564 21.0036772)"
