id,u,v,length,name,geometry
683,288,2704,2.1452551126766743,,"LINESTRING (105.8322455 21.0117074, 105.832227 21.0116988)"
684,289,3347,15.395877847146268,,"LINESTRING (105.832979 21.0122998, 105.8330949 21.0123862)"
685,289,1653,48.13265810308684,,"LINESTRING (105.832979 21.0122998, 105.8326188 21.0120272)"
686,289,3348,75.11326512650831,,"LINESTRING (105.832979 21.0122998, 105.8334584 21.0117938)"
687,290,1987,10.329907312641684,,"LINESTRING (105.8318934 21.0120159, 105.831962 21.0119486)"
688,290,50,24.974364740577663,Phố Đặng Văn Ngữ,"LINESTRING (105.8318934 21.0120159, 105.8317114 21.011869)"
689,290,2682,40.58881966604707,Phố Đặng Văn Ngữ,"LINESTRING (105.8318934 21.0120159, 105.8321817 21.0122625)"
690,291,2703,3.010678530929291,,"LINESTRING (105.8321757 21.0117124, 105.8322017 21.0117004)"
691,291,1033,31.23733353405249,,"LINESTRING (105.8321757 21.0117124, 105.8319815 21.011927)"
692,292,1328,25.052721818173502,Ngõ 4 Phố Phương Mai,"LINESTRING (105.8388501 21.0058955, 105.8389367 21.0056852)"
693,292,707,53.95183780283996,Ngõ 34 Phương Mai,"LINESTRING (105.8388501 21.0058955, 105.8393668 21.0058431)"
694,292,294,11.496533330886166,Ngõ 34 Phương Mai,"LINESTRING (105.8388501 21.0058955, 105.8387421 21.0058726)"
695,292,3338,33.20287482752334,Ngõ 4 Phương Mai,"LINESTRING (105.8388501 21.0058955, 105.8387084 21.0061632)"
696,293,2615,32.2677314199986,Ngõ 24 Giải Phóng,"LINESTRING (105.8397586 21.0058087, 105.8397447 21.0060986)"
697,293,1119,11.384113333967344,Ngõ 24 Giải Phóng,"LINESTRING (105.8397586 21.0058087, 105.8397752 21.0057075)"
698,293,707,40.85047539933922,Ngõ 34 Phương Mai,"LINESTRING (105.8397586 21.0058087, 105.8393668 21.0058431)"
699,294,292,11.496533330886166,Ngõ 34 Phương Mai,"LINESTRING (105.8387421 21.0058726, 105.8388501 21.0058955)"
700,294,654,10.033155490420288,Ngõ 34 Phương Mai,"LINESTRING (105.8387421 21.0058726, 105.8386455 21.0058696)"
701,295,3210,9.604239689866656,Ngõ 34 Phố Phương Mai,"LINESTRING (105.8375505 21.0059861, 105.8375467 21.0058998)"
702,295,81,26.21105590329496,Ngõ 34 Phương Mai,"LINESTRING (105.8375505 21.0059861, 105.8375751 21.0062207)"
703,295,1617,36.07430546693931,Ngõ 34 Phương Mai,"LINESTRING (105.8375505 21.0059861, 105.8378958 21.0059495)"
704,296,1331,8.952263711534114,Ngõ 34 Phố Phương Mai,"LINESTRING (105.8375848 21.00577, 105.837554 21.0058452)"
705,296,3211,9.236422712695836,Ngõ 34 Phố Phương Mai,"LINESTRING (105.8375848 21.00577, 105.8376219 21.0056945)"
706,297,1647,18.845331928857163,Ngõ 34 Phố Phương Mai,"LINESTRING (105.8376877 21.0054296, 105.8376511 21.0055956)"
707,297,298,18.398654561421196,Ngõ 34 Phố Phương Mai,"LINESTRING (105.8376877 21.0054296, 105.8377156 21.0052662)"
708,298,297,18.398654561421196,Ngõ 34 Phố Phương Mai,"LINESTRING (105.8377156 21.0052662, 105.8376877 21.0054296)"
709,298,299,18.02453600291105,Ngõ 34 Phố Phương Mai,"LINESTRING (105.8377156 21.0052662, 105.8377317 21.0051048)"
