id,lat,lng,street_count
481,21.0010541,105.8283545,2
482,21.0024812,105.8300255,2
483,21.002413,105.8299578,2
484,21.0018748,105.829513,3
485,21.0019252,105.8293489,2
486,21.0020053,105.8293354,2
487,21.0019292,105.8295337,3
488,21.0016724,105.8304449,3
489,21.0008569,105.8364623,1
490,21.0008374,105.8361376,1
491,20.9992445,105.8354992,3
492,20.999963,105.8352116,1
493,21.0009086,105.8347146,1
494,21.0026597,105.836061,3
495,21.001952,105.8360484,3
496,20.9993929,105.8343962,4
497,21.0000949,105.8346108,1
498,20.9995826,105.8334989,3
499,21.0001273,105.833653,1
500,21.0006493,105.8320285,3
501,21.000018,105.8318431,3
502,21.000735,105.8317245,1
503,20.9996398,105.8362048,2
504,20.9997316,105.8361323,3
505,20.9998352,105.8360907,2
506,20.9999613,105.8360767,2
507,21.0001691,105.8361639,2
508,20.9995834,105.8365917,3
509,21.0001669,105.836594,3
510,21.000258,105.8376052,3
511,21.0002775,105.8366105,3
512,21.0005091,105.8365934,3
513,21.0006823,105.8365999,1
514,21.0012199,105.8347348,2
515,21.0011803,105.8346337,2
516,21.0011493,105.8345641,3
517,21.0030379,105.8324519,1
518,21.0028274,105.832578,2
519,21.0023665,105.832927,2
520,21.0020869,105.8333233,2
521,21.0018815,105.8337026,2
522,21.0016127,105.8341334,2
523,21.0014075,105.8343821,2
524,21.0011318,105.8329957,1
525,21.0012561,105.8323947,2
526,21.0012256,105.8322385,3
527,21.0015183,105.8309105,2
528,21.0017995,105.8329142,1
529,21.002739,105.8386856,1
530,21.0017217,105.8385342,2
531,21.0017278,105.838659,3
532,21.0024452,105.8386779,3
533,21.0017624,105.8411588,2
534,21.0019229,105.8412244,3
535,21.0030387,105.8409279,1
536,21.0018485,105.8406007,2
537,21.0019227,105.8409165,3
538,21.0020422,105.8409174,3
539,21.0020369,105.8406003,3
540,21.0016869,105.8379912,2
541,21.0016147,105.837991,1
542,21.0030279,105.8392603,2
543,20.9993747,105.8364475,1
544,20.9992336,105.8378072,3
545,20.997976,105.8410628,2
546,20.9995914,105.8388787,2
547,20.9979543,105.8411369,4
548,20.9991422,105.8411762,3
549,21.0001991,105.8408778,2
550,20.9998819,105.8404157,2
551,21.0001349,105.8404317,2
552,21.0015824,105.8410019,2
553,20.9994966,105.8392125,3
554,21.0000785,105.8389939,1
555,20.9994915,105.8390035,2
556,20.9995363,105.8389512,2
557,21.0107817,105.8372067,3
558,21.0126185,105.8269948,1
559,21.0120535,105.8283201,3
560,21.0114041,105.832299,1
561,21.0118304,105.8328114,3
562,21.0109536,105.8327692,1
563,21.0113404,105.8332332,2
564,21.0114788,105.8331589,3
565,21.0117354,105.8334458,2
566,21.0099181,105.8254496,3
567,21.0101564,105.8249485,3
568,21.0100041,105.828031,1
569,21.0101485,105.8278901,3
570,21.0103095,105.8279786,3
571,21.0104577,105.8277159,3
572,21.0105304,105.8267893,1
573,21.0100146,105.8264992,3
